gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,1019.0,144.08326029777527,31,50,1.6129032258064515,0.6168179361452815,12.171736997055937,18.510304219823357
2,223.0,76.18376517295837,25,21,1.1904761904761905,0.4828251251544073,80.17488789237669,9.995515695067265
3,4068.0,313.52185785770416,76,86,1.131578947368421,0.5200620460407243,170.81588003933138,36.60717797443461
4,7179.0,591.8305149078369,137,142,1.0364963503649636,0.25756041128236534,59.75066165204068,125.0270232622928
5,4349.0,380.5512965917587,64,128,2.0,0.37737476859467517,231.28880202345366,111.71786617613245
6,76.0,31.55634880065918,11,10,1.1,0.9590692367735953,146.18421052631578,133.69736842105263
7,1432.0,186.50966656208038,38,57,1.5,0.5173091863555317,170.67108938547486,169.47625698324023
8,117.0,47.455843687057495,15,13,1.1538461538461537,0.6528543889260608,101.17094017094017,157.24786324786325
9,980.0,132.81118190288544,35,38,1.0857142857142856,0.6981787986396516,208.6642857142857,167.43775510204082
10,2937.0,330.39191591739655,90,65,1.3846153846153846,0.3381076411010217,155.27545114061968,213.18760640108954
11,797.0,109.98275566101074,35,33,1.0606060606060606,0.8279783702614043,77.52948557089084,197.0163111668758
12,845.0,181.6812391281128,60,32,1.875,0.3216965522757085,25.93491124260355,240.26863905325445
13,52.0,37.55634891986847,17,5,3.4,0.46328312047810727,91.76923076923077,240.82692307692307
