gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,16195.0,1757.2560439109802,136,256,1.8823529411764706,0.06590535822518888,71.49990737882062,112.84365544921272
2,2079.0,209.78174448013306,64,53,1.2075471698113207,0.5936479443003908,199.4194324194324,18.72150072150072
3,128.0,72.18376529216766,21,12,1.75,0.3087029425523724,245.171875,7.3515625
4,464.0,103.84061968326569,23,32,1.391304347826087,0.5407459833891405,246.23922413793105,61.3125
5,69.0,32.3847758769989,8,13,1.625,0.8267556340112574,167.57971014492753,64.47826086956522
6,1894.0,330.39191591739655,67,86,1.2835820895522387,0.21803740968516686,218.71224920802536,112.63463569165786
7,61.0,28.485281229019165,8,10,1.25,0.9447103556882386,186.0327868852459,94.0327868852459
8,1297.0,175.43859827518463,44,51,1.1590909090909092,0.5295409407255771,172.52737085582112,169.36468774094064
9,254.0,69.01219260692596,21,23,1.0952380952380953,0.67018071915724,203.8740157480315,160.74015748031496
10,72.0,30.14213538169861,11,9,1.2222222222222223,0.9958509184051855,221.26388888888889,182.88888888888889
11,56.0,29.55634880065918,9,10,1.1111111111111112,0.8055570907552703,195.53571428571428,185.08928571428572
12,267.0,83.01219236850739,20,32,1.6,0.48689729047424657,203.07116104868913,207.14232209737827
13,189.0,53.455843806266785,16,18,1.125,0.8311535985827053,24.232804232804234,211.84656084656083
14,71.0,36.041630029678345,9,14,1.5555555555555556,0.68684598543522,57.70422535211268,230.6338028169014
15,246.0,61.55634891986847,19,15,1.2666666666666666,0.8158292381143112,246.1382113821138,248.48373983739836
