nucleus_id,type,area_px2,perimeter_px,eccentricity,circularity,centroid_x,centroid_y
1,1,145.0,53.79898929595947,0.5566408708784242,0.6295491366248038,230.55882352941177,3.6882352941176473
2,1,131.5,48.041630148887634,0.6587222697264479,0.7159787716460332,213.13725490196077,9.653594771241831
3,1,115.5,43.21320295333862,0.6392696988148021,0.7772467837628543,247.46666666666667,10.31851851851852
4,4,63.0,37.455843687057495,0.9295568597386591,0.5643015531654576,176.81012658227849,17.518987341772153
5,1,564.0,113.88224983215332,0.6932114258399613,0.5464832954291863,231.11311475409835,25.47868852459016
6,4,38.0,32.97056245803833,0.8996099287299694,0.43927931008818066,41.471698113207545,25.056603773584907
7,1,206.5,92.32590079307556,0.9398621355690279,0.3044267510737299,243.559670781893,36.49794238683128
8,2,44.5,26.727921843528748,0.7141404575552033,0.7827795831088521,134.42105263157896,34.56140350877193
9,4,60.0,33.31370830535889,0.9016234847812399,0.6793837531919755,151.21052631578948,36.276315789473685
10,1,33.0,24.14213538169861,0.8044159074565376,0.7114959657434266,91.31818181818181,37.40909090909091
11,4,64.0,30.14213526248932,0.5029775895463354,0.8852008233619355,140.75641025641025,45.1025641025641
12,1,81.5,38.38477599620819,0.5784223822728456,0.6951034622943847,65.34343434343434,48.03030303030303
13,1,424.0,114.42640602588654,0.7472810803651798,0.4069332767253528,248.11974789915968,55.58613445378151
14,2,58.0,29.313708305358887,0.4302693604085612,0.8481962218999632,94.20833333333333,55.0
15,1,176.0,57.11269760131836,0.7360225346531397,0.6780429184601134,112.53233830845771,64.56218905472636
16,1,48.0,29.79898965358734,0.8276031054765894,0.6792787404659866,142.40983606557376,63.49180327868852
17,4,57.5,41.21320307254791,0.6006686434634854,0.42540733187486973,184.18421052631578,69.03947368421052
18,1,210.5,67.21320283412933,0.8232191599266605,0.585534895716648,4.462809917355372,73.3305785123967
19,1,358.0,90.42640614509583,0.7843125549586478,0.550176896279408,24.316582914572862,83.40954773869346
20,1,38.0,23.656854152679443,0.6546536574666889,0.8532562454975038,129.5,80.0
21,2,27.5,19.899494767189026,0.7269001017307439,0.8726869015740993,152.54054054054055,82.70270270270271
22,4,66.0,50.28427076339722,0.9263763715147734,0.32801181482252406,91.88636363636364,92.64772727272727
23,4,73.5,64.5269113779068,0.9457825197336479,0.22182753204654831,187.81372549019608,86.49019607843137
24,1,112.0,43.455843567848206,0.8169783645525098,0.745300679016704,124.83206106870229,93.06106870229007
25,1,107.5,54.38477599620819,0.9182271308441484,0.4567343131409932,103.62121212121212,99.72727272727272
26,1,193.0,68.28427076339722,0.9385569457705565,0.5201466688714057,39.950892857142854,97.20982142857143
27,4,52.0,34.627416491508484,0.9492977217715813,0.5449705408147424,199.56716417910448,103.56716417910448
28,1,321.5,140.9533177614212,0.8378905384060005,0.2033481547230256,9.321989528795811,103.21465968586388
29,1,359.5,89.8406194448471,0.9039908622440602,0.5597102797941466,55.82663316582914,110.52261306532664
30,1,83.0,50.28427064418793,0.7272839713791353,0.41249970847506695,114.3047619047619,108.95238095238095
31,1,77.5,42.870057106018066,0.8494778430269775,0.5299116194808954,93.90625,114.28125
32,4,51.0,32.14213538169861,0.8949294958120068,0.6203411461650057,134.8939393939394,113.84848484848484
33,1,184.0,56.627416491508484,0.7627356993564495,0.7210646259796167,35.838095238095235,115.57619047619048
34,4,57.5,33.21320295333862,0.7813521252100797,0.6550224575490482,122.52777777777777,114.55555555555556
35,4,65.5,41.21320307254791,0.7324746392864075,0.4845944389183299,205.85714285714286,117.05952380952381
36,4,50.0,33.79898965358734,0.8605871077267871,0.5500123382224206,243.07692307692307,115.61538461538461
37,4,67.5,32.3847758769989,0.6838240104859696,0.8087826854457952,192.609756097561,128.9390243902439
38,1,249.5,74.18376553058624,0.8763627809173241,0.5697215743573806,60.544483985765126,129.6370106761566
39,4,68.0,35.79898941516876,0.8618012330473047,0.6667718292870203,205.11904761904762,133.17857142857142
40,4,71.0,41.79898953437805,0.8009575662506553,0.5106656507069106,120.14444444444445,131.56666666666666
41,1,255.5,68.52691125869751,0.6281990362941133,0.6837202680814536,71.34265734265735,139.17482517482517
42,2,29.0,21.313708186149597,0.5764024703695396,0.8022132504925454,148.25641025641025,134.64102564102564
43,1,76.5,41.21320307254791,0.8754027980335359,0.5659767111030876,123.51578947368421,142.49473684210525
44,1,70.0,36.627416491508484,0.8376325527164856,0.6556851235351391,140.69767441860466,142.31395348837208
45,1,183.5,61.69848430156708,0.7130407629402565,0.605754908872392,60.78672985781991,152.49289099526067
