gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,330.0,70.87005710601807,25,18,1.3888888888888888,0.8256542837213353,22.833333333333332,6.930303030303031
2,39453.0,2588.265271425247,256,256,1.0,0.0740069193175504,131.16979697361418,120.90713000278812
3,77.0,38.041630029678345,12,14,1.1666666666666667,0.668624604582724,87.15584415584415,98.72727272727273
4,172.0,51.79898953437805,18,13,1.3846153846153846,0.8055559971763064,247.36046511627907,136.55232558139534
5,601.0,114.08326005935669,36,29,1.2413793103448276,0.5802838579375557,15.10981697171381,219.2828618968386
6,175.0,51.455843806266785,13,19,1.4615384615384615,0.8305743286582759,249.53714285714287,244.34857142857143
