gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,113.0,40.97056245803833,12,14,1.1666666666666667,0.845949533426437,19.920353982300885,5.31858407079646
2,11647.0,599.3868650197983,174,160,1.0875,0.40738918573941413,74.53679058985146,62.359234137546146
3,16336.0,840.4650707244873,170,256,1.5058823529411764,0.29061381159235583,165.14936336924583,140.4861043095005
4,320.0,71.49747371673584,23,22,1.0454545454545454,0.7866443881953208,70.184375,141.853125
5,1653.0,280.0071407556534,73,74,1.0136986301369864,0.2649381526939272,49.38838475499092,211.65698729582576
6,131.0,72.28427076339722,8,29,3.625,0.3150602052811564,252.04580152671755,198.03053435114504
7,769.0,138.56854128837585,27,43,1.5925925925925926,0.5032768031110473,224.32899869960988,218.51365409622886
8,412.0,87.45584380626678,14,36,2.5714285714285716,0.6769076329278032,5.983009708737864,215.68203883495147
9,251.0,58.870057225227356,18,19,1.0555555555555556,0.9101116414353401,189.20717131474103,216.6812749003984
10,82.0,32.72792184352875,11,10,1.1,0.9620261065562582,33.90243902439025,223.40243902439025
11,172.0,66.28427064418793,19,15,1.2666666666666666,0.49194590194323157,28.0,244.6046511627907
