nucleus_id,type,area_px2,perimeter_px,eccentricity,circularity,centroid_x,centroid_y
1,3,82.0,40.97056245803833,0.9803621105488227,0.6138748826634322,111.15841584158416,4.03960396039604
2,3,132.0,46.14213538169861,0.7817907404362388,0.779091411931703,237.85064935064935,5.590909090909091
3,3,252.5,65.35533881187439,0.7483782766594395,0.7428636461177012,122.0711743772242,8.97864768683274
4,3,76.0,34.14213538169861,0.7323352130228207,0.8192983799839758,30.391304347826086,9.717391304347826
5,3,130.5,46.041630268096924,0.8121354030984362,0.7736045042853762,57.788079470198674,9.09271523178808
6,4,85.5,56.041630029678345,0.9437089850622408,0.3421010926780588,150.7117117117117,15.36036036036036
7,3,101.0,50.62741661071777,0.8443843260221471,0.4951761328299091,249.79032258064515,13.435483870967742
8,3,198.0,54.28427064418793,0.7107356102228923,0.8443588118834346,205.66666666666666,18.00900900900901
9,3,133.0,48.627416372299194,0.8037071032160851,0.706804187276625,93.6258064516129,19.296774193548387
10,3,65.5,32.72792172431946,0.5093043255672844,0.7684476882740754,221.7037037037037,17.790123456790123
11,3,103.5,40.041629791259766,0.5697033201079558,0.8111977208782627,107.63636363636364,20.272727272727273
12,3,44.5,24.727921724319458,0.3539424615137244,0.9145230169543308,38.392857142857146,20.767857142857142
13,3,254.5,65.6984840631485,0.7524585642202439,0.740946674696194,137.1161971830986,24.52112676056338
14,3,132.5,48.041630029678345,0.84609972487596,0.7214234807140797,235.53896103896105,22.253246753246753
15,3,76.5,35.899494767189026,0.7762393128561791,0.7459240778221369,251.27659574468086,27.29787234042553
16,3,116.0,45.79898953437805,0.7572528724019747,0.6949540028608717,54.13868613138686,27.978102189781023
17,3,107.5,42.041630148887634,0.5439355695423692,0.7642918590852161,199.70634920634922,27.960317460317462
18,3,114.0,50.62741661071777,0.9047839267069618,0.5589116746793032,30.204379562043798,31.27007299270073
19,3,233.0,71.25483286380768,0.712852546353991,0.5766829794489118,181.319391634981,35.460076045627375
20,3,86.5,37.55634891986847,0.7998377487307257,0.7706536523337745,76.70192307692308,34.27884615384615
21,3,304.0,87.5979790687561,0.7008616131663065,0.49784628861867053,216.68221574344022,42.21865889212828
22,3,114.5,41.21320295333862,0.7376949537733999,0.8471154744600903,87.0375939849624,40.909774436090224
23,3,148.5,50.041630029678345,0.751031721660072,0.7452009883314895,99.09941520467837,43.05263157894737
24,3,146.0,48.627416491508484,0.7640142904575018,0.7758903070408528,11.80952380952381,44.76190476190476
