gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,735.0,110.62741661071777,25,36,1.44,0.7546953280872675,10.59047619047619,15.129251700680273
2,478.0,95.84061932563782,30,28,1.0714285714285714,0.6539409557100551,77.75523012552301,11.140167364016737
3,8194.0,679.1269773244858,148,140,1.0571428571428572,0.22325636972892282,126.84598486697584,81.35733463509885
4,96.0,38.72792184352875,16,8,2.0,0.8043271169590225,217.83333333333334,2.6875
5,5807.0,544.0904000997543,94,129,1.372340425531915,0.246501498338177,224.2490098157396,123.34733941794386
6,2044.0,254.40916121006012,49,71,1.4489795918367347,0.3968489753391075,18.992172211350294,161.76614481409
7,195.0,53.455843687057495,16,18,1.125,0.8575394309338547,132.99487179487178,170.34871794871796
8,2763.0,346.77669167518616,88,80,1.1,0.2887293617966683,155.6348172276511,219.7205935577271
9,2542.0,258.450790643692,84,55,1.5272727272727273,0.47822214167591015,47.353658536585364,231.18450039339103
10,1361.0,152.2670260667801,43,50,1.1627906976744187,0.7376600403925231,220.32476120499632,233.4555473916238
