nucleus_id,type,area_px2,perimeter_px,eccentricity,circularity,centroid_x,centroid_y
1,3,89.5,39.55634880065918,0.8024813075576969,0.718787479903191,66.08333333333333,3.814814814814815
2,3,41.0,26.485281229019165,0.8587903645683458,0.7344877268345591,163.83333333333334,4.166666666666667
3,3,68.5,31.899494647979736,0.7081287598739593,0.8459268882819202,201.17857142857142,5.0
4,3,119.0,41.79898941516876,0.39058689720376,0.8559044053626167,38.108695652173914,7.202898550724638
5,3,434.0,81.11269760131836,0.4157524569981778,0.8289377218492168,147.98301486199574,12.00212314225053
6,3,105.5,41.21320307254791,0.6159390416314489,0.7805299741356305,230.03225806451613,11.185483870967742
7,3,173.0,52.627416491508484,0.6562405933790237,0.7849316943232272,10.258883248730964,16.131979695431472
8,3,279.5,80.5269113779068,0.8749374748125291,0.5416385818009964,129.1772151898734,11.316455696202532
9,3,40.5,25.899494767189026,0.7571411753871814,0.7587213461776839,172.39622641509433,13.528301886792452
10,3,85.5,40.041630029678345,0.7301063751104877,0.6701198483975496,23.679611650485437,21.699029126213592
11,3,129.0,58.62741661071777,0.8995951312243544,0.4716263475219623,47.705128205128204,20.185897435897438
12,3,211.5,85.35533833503723,0.9555828940179163,0.3648033849486932,239.256,24.06
13,3,137.0,51.455843687057495,0.6840901405847474,0.6502210488766805,14.23125,27.69375
14,3,133.0,47.79898953437805,0.45304067076507243,0.7315164106999784,34.354838709677416,29.54193548387097
15,3,113.0,42.62741661071777,0.7290955986293913,0.7814663473416467,213.0,32.07575757575758
16,3,173.0,74.28427076339722,0.9523558420471278,0.3939691709232671,8.980676328502415,39.971014492753625
17,3,141.5,51.21320295333862,0.8044392971154105,0.6779574345464203,35.14545454545454,43.333333333333336
18,3,154.0,57.11269736289978,0.845723001294507,0.5932875586059909,217.37430167597765,48.865921787709496
19,3,267.0,94.08326029777527,0.9471458225198871,0.37904991876894717,118.62662337662337,55.29220779220779
20,3,257.0,62.627416491508484,0.6607937615415633,0.8234059374008551,147.87762237762237,50.07692307692308
21,3,568.5,109.49747383594513,0.6611956016500995,0.5958434001678194,240.6580226904376,50.85899513776337
22,3,89.0,38.97056245803833,0.6818484536727616,0.7364216074896344,49.76635514018692,52.02803738317757
23,3,137.0,62.627416372299194,0.9726885365134449,0.438936240674571,6.072289156626506,53.43975903614458
24,3,173.5,64.04163014888763,0.8767334658291909,0.5315995282351906,32.91133004926108,56.576354679802954
