gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,1447.0,228.71067690849304,43,54,1.255813953488372,0.34762060942744344,18.63925362819627,18.31859018659295
2,615.0,107.15432810783386,29,36,1.2413793103448276,0.6730782313376065,124.02764227642277,16.29268292682927
3,648.0,117.8406194448471,44,22,2.0,0.5864011810867801,160.63425925925927,8.558641975308642
4,53.0,25.656854152679443,6,10,1.6666666666666667,1.0117633016161771,252.69811320754718,18.849056603773583
5,611.0,109.01219248771667,26,35,1.3461538461538463,0.6461017620727332,243.7201309328969,56.340425531914896
6,81.0,32.97056245803833,9,13,1.4444444444444444,0.9363585293984904,144.25925925925927,47.18518518518518
7,64.0,27.899494767189026,7,11,1.5714285714285714,1.0332303643018759,250.03125,82.796875
8,6389.0,424.9777020215988,72,150,2.0833333333333335,0.44453961034492007,26.471904836437627,153.55845985287212
9,9091.0,705.168608546257,138,167,1.210144927536232,0.2297394515660947,193.7310526894731,184.44307556924431
10,415.0,89.94112479686737,21,27,1.2857142857142858,0.6446757463110656,84.58072289156627,153.17590361445784
11,1103.0,137.25483393669128,42,37,1.135135135135135,0.7357496752941414,237.2157751586582,239.90571169537625
12,583.0,104.32590079307556,31,32,1.032258064516129,0.6731225380716136,91.36878216123499,239.46998284734133
