gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,1164.0,157.49747383594513,34,51,1.5,0.5896789971682661,12.97766323024055,20.31872852233677
2,7432.0,547.2863570451736,126,103,1.2233009708737863,0.3118073303897488,172.59364908503767,52.56391280947255
3,55.0,27.313708305358887,8,10,1.25,0.9264270332878016,105.43636363636364,34.61818181818182
4,2305.0,211.88224923610687,40,77,1.925,0.6451959679416123,15.214750542299349,129.7002169197397
5,98.0,39.79898941516876,12,12,1.0,0.7774846987872275,53.53061224489796,99.08163265306122
6,101.0,35.55634880065918,13,10,1.3,1.0039149508333787,186.4851485148515,111.60396039603961
7,395.0,85.01219260692596,26,27,1.0384615384615385,0.6868225168004535,192.00759493670887,128.45316455696204
8,860.0,134.81118249893188,27,46,1.7037037037037037,0.5946432302477552,243.52209302325582,184.2325581395349
9,2847.0,298.73506212234497,79,61,1.2950819672131149,0.4008897339315559,85.78187565858799,217.11064278187567
10,277.0,67.35533809661865,18,24,1.3333333333333333,0.7672653613578521,168.5595667870036,208.76534296028882
