gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,605.0,110.18376564979553,35,29,1.206896551724138,0.6262244458609657,58.96363636363636,10.449586776859505
2,11151.0,1077.8031635284424,148,163,1.1013513513513513,0.12062706800348082,144.1727199354318,66.16527665680208
3,3571.0,382.8355667591095,52,129,2.480769230769231,0.3061788287041282,17.40828899467936,152.49985998319798
4,1182.0,161.53910434246063,54,42,1.2857142857142858,0.5692093159972939,79.28764805414552,114.71827411167513
5,3105.0,268.8355669975281,69,77,1.1159420289855073,0.5398809677293382,194.14943639291465,196.1755233494364
6,1571.0,154.4680359363556,47,43,1.0930232558139534,0.8273872040261527,123.04073838319542,206.14385741565883
7,907.0,161.58073329925537,41,53,1.2926829268292683,0.4365540298631814,237.66372657111356,229.15104740904079
