gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,4797.0,374.39191591739655,82,118,1.4390243902439024,0.43005762997921837,81.75901605169898,46.177194079633104
2,2359.0,262.79393684864044,71,61,1.1639344262295082,0.42924685601166057,185.9711742263671,29.863925392115302
3,107.0,39.899494647979736,14,10,1.4,0.8446151194978049,248.3551401869159,3.663551401869159
4,6510.0,642.357425570488,108,182,1.6851851851851851,0.1982610285187886,118.85376344086022,169.02273425499232
5,6330.0,569.4873682260513,66,170,2.5757575757575757,0.24527053767517004,229.03554502369667,156.8570300157978
6,617.0,98.28427076339722,26,30,1.1538461538461537,0.8026514390657967,10.774716369529983,115.00162074554295
7,1368.0,161.7401144504547,31,60,1.935483870967742,0.6571438823767066,12.088450292397662,183.30921052631578
8,259.0,76.66904664039612,25,16,1.5625,0.5536935981600043,29.71042471042471,246.64864864864865
